Sl. No.,STATES/UTs,No. of AAY Families (In lakh),Monthly quota @1 kg of sugar per family (In MT),Quarterly  quota (In MT),Annual quota (In MT),Sugar subsidy released for the FY 2021-22  (Rs. In Cr.)
1,Andhra Pradesh,9.586,958.6,2875.8,11503,20.34
2,Arunachal Pradesh,0.38,38,114,456,Not Participated
3,Assam,7.04,704,2112,8448,Not Participated
4,Bihar,25.01,2501,7503,30012,Not Participated
5,Chhattisgarh,7.189,718.9,2156.7,8627,15.96
6,Delhi,1.568,156.8,470.4,1882,2.2
7,Goa,0.184,18.4,55.2,221,0
8,Gujarat,8.128,812.8,2438.4,9754,22.04
9,Haryana,3.025,302.5,907.5,3630,1.15
10,Himachal Pradesh,1.971,197.1,591.3,2365,8.08
11,Jammu & Kashmir,2.822,282.2,846.6,3386,2.54
12,Jharkhand,9.179,917.9,2753.7,11015,33.38
13,Karnataka,11.997,1199.7,3599.1,14396,Not Participated
14, Kerala,5.958,595.8,1787.4,7150,0
15,Madhya Pradesh,15.816,1581.6,4744.8,18979,0
16,Maharashtra,25.053,2505.3,7515.9,30064,60.44
17,Manipur,0.636,63.6,190.8,763,Not Participated
18,Meghalaya,0.702,70.2,210.6,842,Not Participated
19,Mizoram,0.261,26.1,78.3,313,0
20,Nagaland,0.475,47.5,142.5,570,1.05
21,Odisha,12.645,1264.5,3793.5,15174,Not Participated
22,Punjab,1.794,179.4,538.2,2153,Not Participated
23,Rajasthan,9.321,932.1,2796.3,11185,0
24,Sikkim,0.165,16.5,49.5,198,0.73
25,Tamil Nadu,18.646,1864.6,5593.8,22375,31.05
26,Telangana,5.992,599.2,1797.6,7190,3.25
27,Tripura,1.131,113.1,339.3,1357,10.41
28,Uttar Pradesh,40.945,4094.5,12283.5,49134,0
29,Uttarakhand,1.909,190.9,572.7,2291,0
30,West Bengal,19.857,1985.7,5957.1,23828,37.38
31,A&N,0.107,10.7,32.1,128,Not Participated
32,Daman & Diu,0.015,1.5,4.5,18,0
33,Dadar & Nagar Haveli,0.069,6.9,20.7,83,0
34,Lakshadweep,0.012,1.2,3.6,14,0
35,Chandigarh,0.088,8.8,26.4,106,Not Participated
36,Puducherry,0.322,32.2,96.6,386,Not Participated
NA,Grand Total,249.998,24999.8,74999.4,299996,250
