from_node,to_node,distance_km
godown_Adilabad,shop_1901001,15.155
godown_Adilabad,shop_1901002,11.669
godown_Adilabad,shop_1901003,11.126
godown_Adilabad,shop_1901004,16.292
godown_Adilabad,shop_1901005,19.392
godown_Adilabad,shop_1901006,6.89
godown_Adilabad,shop_1901007,12.708
godown_Adilabad,shop_1901008,22.131
godown_Adilabad,shop_1901009,21.479
godown_Adilabad,shop_1901010,14.857
godown_Adilabad,shop_1901011,8.117
godown_Adilabad,shop_1901012,1.827
godown_Adilabad,shop_1901013,14.156
godown_Adilabad,shop_1901014,15.644
godown_Adilabad,shop_1901015,13.009
godown_Adilabad,shop_1901016,18.794
godown_Adilabad,shop_1902001,11.78
godown_Adilabad,shop_1902002,17.968
godown_Adilabad,shop_1902003,8.926
godown_Adilabad,shop_1902004,7.284
godown_Adilabad,shop_1902005,5.462
godown_Adilabad,shop_1902006,9.94
godown_Adilabad,shop_1902007,10.166
godown_Adilabad,shop_1902009,8.069
godown_Adilabad,shop_1902010,7.803
godown_Adilabad,shop_1902011,9.295
godown_Adilabad,shop_1904001,13.783
godown_Adilabad,shop_1904002,13.684
godown_Adilabad,shop_1904003,10.062
godown_Adilabad,shop_1904004,14.437
godown_Adilabad,shop_1904005,16.61
godown_Adilabad,shop_1904006,19.138
godown_Adilabad,shop_1904007,18.715
godown_Adilabad,shop_1904008,16.673
godown_Adilabad,shop_1904009,18.612
godown_Adilabad,shop_1904010,18.958
godown_Adilabad,shop_1904011,21.012
godown_Adilabad,shop_1904012,20.234
godown_Adilabad,shop_1904013,8.652
godown_Adilabad,shop_1904014,9.653
godown_Adilabad,shop_1904015,13.416
godown_Adilabad,shop_1904016,12.694
godown_Adilabad,shop_1904017,11.946
godown_Adilabad,shop_1904018,14.198
godown_Adilabad,shop_1904019,16.731
godown_Adilabad,shop_1904020,17.115
godown_Adilabad,shop_1904021,18.868
godown_Adilabad,shop_1904022,8.92
godown_Adilabad,shop_1904023,10.522
godown_Adilabad,shop_1904024,7.979
godown_Adilabad,shop_1904025,10.623
godown_Adilabad,shop_1904026,11.925
godown_Adilabad,shop_1904027,13.001
godown_Adilabad,shop_1904028,16.131
godown_Adilabad,shop_1904029,16.756
godown_Adilabad,shop_1904030,16.915
godown_Adilabad,shop_1904031,14.868
godown_Adilabad,shop_1904032,12.763
godown_Adilabad,shop_1904033,10.591
godown_Adilabad,shop_1904034,10.808
godown_Adilabad,shop_1904035,13.844
godown_Adilabad,shop_1904036,14.982
godown_Adilabad,shop_1904037,14.311
godown_Adilabad,shop_1904038,17.378
godown_Adilabad,shop_1905001,25.797
godown_Adilabad,shop_1905002,19.391
godown_Adilabad,shop_1905003,20.381
godown_Adilabad,shop_1905004,27.221
godown_Adilabad,shop_1905005,21.448
godown_Adilabad,shop_1905006,23.426
godown_Adilabad,shop_1905007,27.455
godown_Adilabad,shop_1905008,28.365
godown_Adilabad,shop_1905009,26.179
godown_Adilabad,shop_1905010,26.606
godown_Adilabad,shop_1905011,29.545
godown_Adilabad,shop_1905012,22.871
godown_Adilabad,shop_1905013,25.03
godown_Adilabad,shop_1905014,31.812
godown_Adilabad,shop_1905015,29.702
godown_Adilabad,shop_1905016,30.787
godown_Adilabad,shop_1905017,32.416
godown_Adilabad,shop_1905018,24.652
godown_Adilabad,shop_1905019,28.878
godown_Adilabad,shop_1905020,32.078
godown_Adilabad,shop_1905021,29.752
godown_Adilabad,shop_1905022,22.103
godown_Adilabad,shop_1905023,21.462
godown_Adilabad,shop_1905024,21.656
godown_Adilabad,shop_1905025,17.526
godown_Adilabad,shop_1905026,25.506
godown_Adilabad,shop_1906001,37.953
godown_Adilabad,shop_1906002,39.181
godown_Adilabad,shop_1906003,34.187
godown_Adilabad,shop_1906004,41.788
godown_Adilabad,shop_1906005,34.714
godown_Adilabad,shop_1906006,39.119
godown_Adilabad,shop_1906007,42.114
godown_Adilabad,shop_1906008,40.938
godown_Adilabad,shop_1906009,40.313
godown_Adilabad,shop_1906011,31.104
godown_Adilabad,shop_1906012,29.209
godown_Adilabad,shop_1906016,34.334
godown_Adilabad,shop_1906022,52.724
godown_Adilabad,shop_1906023,38.126
godown_Adilabad,shop_1907001,24.926
godown_Adilabad,shop_1907002,23.942
godown_Adilabad,shop_1907003,24.111
godown_Adilabad,shop_1907004,29.428
godown_Adilabad,shop_1907005,27.677
godown_Adilabad,shop_1907006,19.724
godown_Adilabad,shop_1907007,19.727
