district,latitude,longitude
Adilabad,19.6667,78.5333
Bhadradri Kothagudem,17.55,80.6167
Hyderabad,17.385,78.4867
Jagityal,18.8,78.9333
Jangaon,17.7167,79.1667
Jayashankar Bhupalapally,18.4,79.85
Jogulamba Gadwal,16.2333,77.8
Kamareddy,18.3167,78.35
Karimnagar,18.4333,79.15
Khammam,17.25,80.15
Komaram Bheem,19.1,79
Mahabubabad,17.6,80
Mahabubnagar,16.75,77.9833
Mancherial,18.8833,79.45
Medak,18.0333,78.2667
Medchal–Malkajgiri,17.6,78.5
Mulugu,18.2,80
Nagarkurnool,16.4833,78.3167
Nalgonda,17.05,79.2667
Narayanpet,16.75,77.5
Nirmal,19.1,78.35
Nizamabad,18.6667,78.1
Peddapalli,18.6,79.3667
Rajanna Sircilla,18.4,78.8333
Rangareddy,17.3,78.4
Sangareddy,17.6167,78.0833
Siddipet,18.1,78.85
Suryapet,17.15,79.6167
Vikarabad,17.3333,77.9
Wanaparthy,16.3667,78.0667
Warangal,17.9833,79.5833
Yadadri Bhuvanagiri,17.3167,78.9
